Roughness,id,Initial_State
0.526315789,Extinction,Constant
0.529411765,Extinction,Constant
0.352941176,Extinction,Constant
0.388888889,Extinction,Constant
0.235294118,Extinction,Constant
0.5,Extinction,Constant
0.588235294,Extinction,Constant
0.230769231,Extinction,Constant
0.375,Extinction,Constant
0.3,Extinction,Constant
0.294117647,Extinction,Constant
0.352941176,Extinction,Constant
0.368421053,Extinction,Constant
0.352941176,Extinction,Constant
0.263157895,Extinction,Constant
0.294117647,Extinction,Constant
0.235294118,Extinction,Constant
0.333333333,Extinction,Constant
0.384615385,Extinction,Constant
0.571428571,Extinction,Constant
0.6,Extinction,Constant
0.625,Extinction,Constant
0.625,Extinction,Constant
0.4,Extinction,Constant
0.529411765,Extinction,Constant
0.666666667,Extinction,Constant
0.375,Extinction,Constant
0.384615385,Extinction,Constant
0.6,Extinction,Constant
0.266666667,Extinction,Constant
0.153846154,Extinction,Constant
0.352941176,Extinction,Constant
0.285714286,Extinction,Constant
0.736842105,Extinction,Constant
0.333333333,Extinction,Constant
0.285714286,Extinction,Constant
0.142857143,Extinction,Constant
0.133333333,Extinction,Constant
0.470588235,Extinction,Constant
0.315789474,Extinction,Constant
0.117647059,Extinction,Constant
0.263157895,Extinction,Constant
0.294117647,Extinction,Constant
0.166666667,Extinction,Constant
0.571428571,Extinction,Constant
0.157894737,Extinction,Constant
0.458333333,Extinction,Constant
0.166666667,Extinction,Constant
0.315789474,Extinction,Constant
0.277777778,Extinction,Constant
0.380952381,Extinction,Constant
0.5,Extinction,Constant
0.210526316,Extinction,Constant
0.35,Extinction,Constant
0.166666667,Extinction,Constant
0.25,Extinction,Constant
0.318181818,Extinction,Constant
0.277777778,Extinction,Constant
0.25,Extinction,Constant
0.375,Extinction,Constant
0.352941176,Extinction,Constant
0.3125,Extinction,Constant
0.619047619,Extinction,Constant
0.526315789,Extinction,Constant
0.285714286,Extinction,Constant
0.266666667,Extinction,Constant
0.230769231,Extinction,Constant
0.277777778,Extinction,Constant
0.6,Extinction,Constant
0.1875,Extinction,Constant
0.555555556,Extinction,Constant
0.176470588,Extinction,Constant
0.533333333,Extinction,Constant
0.266666667,Extinction,Constant
0.352941176,Extinction,Constant
0.388888889,Extinction,Constant
0.736842105,Extinction,Constant
0.25,Extinction,Constant
0.466666667,Extinction,Constant
0.363636364,Extinction,Constant
0.166666667,Extinction,Constant
0.333333333,Extinction,Constant
0.2,Extinction,Constant
0.25,Extinction,Constant
0.333333333,Extinction,Constant
0.363636364,Extinction,Constant
0.2,Extinction,Constant
0.272727273,Extinction,Constant
0.571428571,Extinction,Constant
0.25,Extinction,Constant
0.555555556,Extinction,Constant
0.3125,Extinction,Constant
0.266666667,Extinction,Constant
0.333333333,Extinction,Constant
0.470588235,Extinction,Constant
0.388888889,Extinction,Constant
0.266666667,Extinction,Constant
0.285714286,Extinction,Constant
0.444444444,Extinction,Constant
