RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
18,1969,0.0,25.0,0.0,525.0,25.0,0.0,25.0,1400.0,0.0,0.0,150.0,0.0,75.0,0.0,0.0,50.0,25.0,0.0,25.0,150.0,0.0,200.0,0.0,0.0
18,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
60,1966,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1967,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,28.0,108.0,0.0,16.0,0.0,0.0
60,1968,10.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,18.0,48.0,0.0,14.0,0.0,0.0
60,1969,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,70.0,0.0,4.0,0.0,0.0
60,1970,14.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
60,1974,6.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,160.0,0.0,0.0,0.0,0.0
60,1975,6.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,6.0,0.0,0.0
60,1976,14.0,0.0,0.0,2.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,6.0,0.0,0.0
60,1977,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,0.0,14.0,0.0,0.0
60,1978,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0
67,1966,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1967,80.0,80.0,0.0,160.0,760.0,0.0,0.0,3160.0,0.0,0.0,0.0,0.0,240.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,480.0,0.0,0.0
67,1968,0.0,0.0,0.0,40.0,160.0,0.0,0.0,1360.0,0.0,0.0,280.0,0.0,120.0,0.0,40.0,0.0,0.0,0.0,0.0,120.0,0.0,80.0,0.0,0.0
67,1969,40.0,0.0,0.0,120.0,480.0,0.0,0.0,1760.0,0.0,0.0,240.0,0.0,240.0,0.0,80.0,0.0,0.0,40.0,0.0,0.0,0.0,80.0,0.0,0.0
67,1970,0.0,0.0,0.0,480.0,400.0,0.0,0.0,2120.0,0.0,0.0,640.0,0.0,560.0,0.0,40.0,0.0,0.0,0.0,0.0,200.0,0.0,600.0,0.0,0.0
